INFO 2025-11-10 16:28:49,109 autoreload 5620 5536 Watching for file changes with StatReloader
INFO 2025-11-10 16:31:50,470 autoreload 2804 8280 Watching for file changes with StatReloader
INFO 2025-11-10 16:53:36,687 autoreload 12304 9360 Watching for file changes with StatReloader
INFO 2025-11-10 17:03:19,852 autoreload 6604 4856 Watching for file changes with StatReloader
INFO 2025-11-10 17:03:48,981 basehttp 6604 6352 "GET / HTTP/1.1" 200 82130
INFO 2025-11-10 17:03:50,623 basehttp 6604 6352 "GET /static/css/style.css HTTP/1.1" 200 11394
INFO 2025-11-10 17:03:50,627 basehttp 6604 5460 "GET /static/css/dark.css HTTP/1.1" 200 26615
INFO 2025-11-10 17:03:50,936 basehttp 6604 5460 "GET /static/js/theme-toggle.js HTTP/1.1" 200 5471
INFO 2025-11-10 17:03:50,937 basehttp 6604 6352 "GET /static/images/hero-banner.png HTTP/1.1" 200 58071
INFO 2025-11-10 17:03:50,939 basehttp 6604 8596 "GET /static/images/placeholder.png HTTP/1.1" 200 496
INFO 2025-11-10 17:03:51,175 basehttp 6604 5460 "GET /static/js/banner-slider.js HTTP/1.1" 200 5791
INFO 2025-11-10 17:03:51,272 basehttp 6604 8596 "GET /media/products/%D9%84%D9%82%D8%B7%D8%A9_%D8%A7%D9%84%D8%B4%D8%A7%D8%B4%D8%A9_2025-10-30_224350.png HTTP/1.1" 200 5730
INFO 2025-11-10 17:03:51,307 basehttp 6604 5460 "GET /media/products/%D9%84%D9%82%D8%B7%D8%A9_%D8%A7%D9%84%D8%B4%D8%A7%D8%B4%D8%A9_2.png HTTP/1.1" 200 59296
INFO 2025-11-10 17:03:52,037 basehttp 6604 6352 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2F&referrer= HTTP/1.1" 200 0
INFO 2025-11-10 17:03:52,445 basehttp 6604 6352 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2F&referrer= HTTP/1.1" 200 0
INFO 2025-11-10 17:03:56,177 basehttp 6604 6700 "GET /static/manifest.json HTTP/1.1" 200 676
WARNING 2025-11-10 17:04:04,324 basehttp 6604 1032 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
WARNING 2025-11-10 17:04:04,343 basehttp 6604 8948 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
WARNING 2025-11-10 17:04:04,435 log 6604 12784 Not Found: /sw.js
WARNING 2025-11-10 17:04:04,437 basehttp 6604 12784 "GET /sw.js HTTP/1.1" 404 40258
INFO 2025-11-10 17:07:42,874 basehttp 6604 5404 "GET /search/advanced/ HTTP/1.1" 200 73236
INFO 2025-11-10 17:07:43,544 basehttp 6604 5404 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2Fsearch%2Fadvanced%2F&referrer=http%3A%2F%2F127.0.0.1%3A8000%2F HTTP/1.1" 200 0
WARNING 2025-11-10 17:07:44,449 log 6604 5404 Not Found: /sw.js
WARNING 2025-11-10 17:07:44,450 basehttp 6604 5404 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:07:44,513 basehttp 6604 5404 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
INFO 2025-11-10 17:08:28,312 autoreload 13948 12432 Watching for file changes with StatReloader
INFO 2025-11-10 17:08:34,042 basehttp 13948 2512 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2F&referrer= HTTP/1.1" 200 0
INFO 2025-11-10 17:08:34,743 basehttp 13948 2512 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2F&referrer= HTTP/1.1" 200 0
WARNING 2025-11-10 17:08:36,649 log 13948 2512 Not Found: /sw.js
WARNING 2025-11-10 17:08:36,663 basehttp 13948 2512 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:08:36,760 basehttp 13948 2512 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
WARNING 2025-11-10 17:08:37,058 basehttp 13948 4968 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
INFO 2025-11-10 17:08:52,385 basehttp 13948 13012 "GET /cart/add/14/ HTTP/1.1" 302 0
INFO 2025-11-10 17:08:52,779 basehttp 13948 13012 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2F&referrer=http%3A%2F%2F127.0.0.1%3A8000%2F HTTP/1.1" 200 0
WARNING 2025-11-10 17:08:53,528 log 13948 13012 Not Found: /sw.js
WARNING 2025-11-10 17:08:53,531 basehttp 13948 13012 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:08:53,701 basehttp 13948 13012 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
INFO 2025-11-10 17:08:56,088 basehttp 13948 10708 "GET /products/ HTTP/1.1" 200 54900
INFO 2025-11-10 17:08:56,660 basehttp 13948 10708 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2Fproducts%2F&referrer=http%3A%2F%2F127.0.0.1%3A8000%2F HTTP/1.1" 200 0
WARNING 2025-11-10 17:08:57,418 log 13948 10708 Not Found: /sw.js
WARNING 2025-11-10 17:08:57,430 basehttp 13948 10708 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:08:57,632 basehttp 13948 10708 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
INFO 2025-11-10 17:09:00,408 basehttp 13948 7372 "GET /search/advanced/ HTTP/1.1" 200 73351
INFO 2025-11-10 17:09:00,772 basehttp 13948 7372 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2Fsearch%2Fadvanced%2F&referrer=http%3A%2F%2F127.0.0.1%3A8000%2Fproducts%2F HTTP/1.1" 200 0
WARNING 2025-11-10 17:09:01,066 log 13948 7372 Not Found: /sw.js
WARNING 2025-11-10 17:09:01,069 basehttp 13948 7372 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:09:01,378 basehttp 13948 7672 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
INFO 2025-11-10 17:09:11,784 basehttp 13948 5252 "GET /track-analytics/?event_type=product_view&url=http%3A%2F%2F127.0.0.1%3A8000%2Fsearch%2Fadvanced%2F&referrer=http%3A%2F%2F127.0.0.1%3A8000%2Fproducts%2F&product_id=23 HTTP/1.1" 200 0
INFO 2025-11-10 17:09:11,836 basehttp 13948 12940 "GET /product/23/ HTTP/1.1" 200 48754
INFO 2025-11-10 17:09:12,194 basehttp 13948 12940 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2Fproduct%2F23%2F&referrer=http%3A%2F%2F127.0.0.1%3A8000%2Fsearch%2Fadvanced%2F HTTP/1.1" 200 0
WARNING 2025-11-10 17:09:12,949 log 13948 12940 Not Found: /sw.js
WARNING 2025-11-10 17:09:12,952 basehttp 13948 12940 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:09:13,083 basehttp 13948 12940 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
